index,date,total
382,2/8/21,106155331
383,2/9/21,106489346
384,2/10/21,106854582
385,2/11/21,107271442
386,2/12/21,107696646
387,2/13/21,108104555
388,2/14/21,108494237
389,2/15/21,108824379
390,2/16/21,109121119
391,2/17/21,109464562
392,2/18/21,109842667
393,2/19/21,110225170
394,2/20/21,110596070
395,2/21/21,110972086
396,2/22/21,111315216
397,2/23/21,111624156
398,2/24/21,111979676
399,2/25/21,112403384
400,2/26/21,112824998
401,2/27/21,113233380
402,2/28/21,113630306
403,3/1/21,113984540
404,3/2/21,114298941
405,3/3/21,114669580
406,3/4/21,115092104
407,3/5/21,115524317
408,3/6/21,115942792
409,3/7/21,116367449
410,3/8/21,116732540
411,3/9/21,117101292
412,3/10/21,117479821
413,3/11/21,117938078
414,3/12/21,118408836
415,3/13/21,118867073
416,3/14/21,119339076
417,3/15/21,119745531
418,3/16/21,120122650
419,3/17/21,120554760
420,3/18/21,121090250
421,3/19/21,121629009
422,3/20/21,122153384
423,3/21/21,122683174
424,3/22/21,123160016
425,3/23/21,123598652
426,3/24/21,124109365
427,3/25/21,124713180
428,3/26/21,125328051
429,3/27/21,125916570
430,3/28/21,126516586
431,3/29/21,127058858
432,3/30/21,127546660
433,3/31/21,128089205
434,4/1/21,128738273
435,4/2/21,129393449
436,4/3/21,130025732
437,4/4/21,130590295
438,4/5/21,131146374
439,4/6/21,131651605
440,4/7/21,132227349
441,4/8/21,132961596
442,4/9/21,133719212
443,4/10/21,134444066
444,4/11/21,135185165
445,4/12/21,135862287
446,4/13/21,136484642
447,4/14/21,137194217
448,4/15/21,138005398
449,4/16/21,138806464
450,4/17/21,139594623
451,4/18/21,140411800
452,4/19/21,141183719
453,4/20/21,141892072
454,4/21/21,142664368
455,4/22/21,143550768
456,4/23/21,144436397
457,4/24/21,145266109
458,4/25/21,146102878
459,4/26/21,146892836
460,4/27/21,147599030
461,4/28/21,148371710
462,4/29/21,149252878
463,4/30/21,150117829
464,5/1/21,150961842
465,5/2/21,151784229
466,5/3/21,152535652
467,5/4/21,153220718
468,5/5/21,153959842
469,5/6/21,154803985
470,5/7/21,155640965
471,5/8/21,156446406
472,5/9/21,157250425
473,5/10/21,157962099
474,5/11/21,158608151
475,5/12/21,159259965
476,5/13/21,160015752
477,5/14/21,160734566
478,5/15/21,161409974
479,5/16/21,162072775
480,5/17/21,162692615
481,5/18/21,163248234
482,5/19/21,163824533
483,5/20/21,164473379
484,5/21/21,165104965
485,5/22/21,165729711
486,5/23/21,166296548
487,5/24/21,166824778
488,5/25/21,167271333
489,5/26/21,167757988
490,5/27/21,168327966
491,5/28/21,168883378
492,5/29/21,169391952
493,5/30/21,169847844
494,5/31/21,170312745
495,6/1/21,170697766
496,6/2/21,171099882
497,6/3/21,171563426
498,6/4/21,172042141
499,6/5/21,172483314
500,6/6/21,172862701
501,6/7/21,173242613
502,6/8/21,173566045
503,6/9/21,173915720
504,6/10/21,174298578
505,6/11/21,174724986
506,6/12/21,175131349
507,6/13/21,175516629
508,6/14/21,175880944
509,6/15/21,176187313
510,6/16/21,176505621
511,6/17/21,176893717
512,6/18/21,177305381
513,6/19/21,177682622
514,6/20/21,178058314
515,6/21/21,178404758
516,6/22/21,178711908
517,6/23/21,179038596
518,6/24/21,179455042
519,6/25/21,179896680
520,6/26/21,180294838
521,6/27/21,180684730
522,6/28/21,181056177
523,6/29/21,181383470
524,6/30/21,181741375
525,7/1/21,182166754
526,7/2/21,182576508
527,7/3/21,183010324
528,7/4/21,183427297
529,7/5/21,183818108
530,7/6/21,184171821
531,7/7/21,184574432
532,7/8/21,185066349
533,7/9/21,185560538
534,7/10/21,186203058
535,7/11/21,186677546
536,7/12/21,187121179
537,7/13/21,187533075
538,7/14/21,188025046
539,7/15/21,188581617
540,7/16/21,189155288
541,7/17/21,189729030
542,7/18/21,190266858
543,7/19/21,190740949
544,7/20/21,191186820
545,7/21/21,191705231
546,7/22/21,192255006
547,7/23/21,192831183
548,7/24/21,193414499
549,7/25/21,194036144
550,7/26/21,194535236
551,7/27/21,195006486
552,7/28/21,195606816
553,7/29/21,196269087
554,7/30/21,196930381
555,7/31/21,197573014
556,8/1/21,198184176
557,8/2/21,198726811
558,8/3/21,199237815
559,8/4/21,199865636
560,8/5/21,200543933
561,8/6/21,201275888
562,8/7/21,201959790
563,8/8/21,202609882
564,8/9/21,203202627
565,8/10/21,203730111
566,8/11/21,204353129
567,8/12/21,205052958
568,8/13/21,205768808
569,8/14/21,206481175
570,8/15/21,207129129
571,8/16/21,207718247
572,8/17/21,208263710
573,8/18/21,208896570
574,8/19/21,209640629
575,8/20/21,210371081
576,8/21/21,211077780
577,8/22/21,211729657
578,8/23/21,212298533
579,8/24/21,212846837
580,8/25/21,213498180
581,8/26/21,214220463
582,8/27/21,214937351
583,8/28/21,215647523
584,8/29/21,216310162
585,8/30/21,216879935
586,8/31/21,217393051
587,9/1/21,218001124
588,9/2/21,218691691
589,9/3/21,219389080
590,9/4/21,220052711
591,9/5/21,220677445
592,9/6/21,221206047
593,9/7/21,221704684
594,9/8/21,222266462
595,9/9/21,222831282
596,9/10/21,223426236
597,9/11/21,224048336
598,9/12/21,224612815
599,9/13/21,225098070
600,9/14/21,225560139
601,9/15/21,226081607
602,9/16/21,226651282
603,9/17/21,227206656
604,9/18/21,227777240
605,9/19/21,228300475
606,9/20/21,228877351
607,9/21/21,229300612
608,9/22/21,229773166
609,9/23/21,230281413
610,9/24/21,230814513
611,9/25/21,231325513
612,9/26/21,231808861
613,9/27/21,232205546
614,9/28/21,232574917
615,9/29/21,233036610
616,9/30/21,233520249
617,10/1/21,234000667
618,10/2/21,234478089
619,10/3/21,234918365
620,10/4/21,235272895
621,10/5/21,235624565
622,10/6/21,236059914
623,10/7/21,236522321
624,10/8/21,236992509
625,10/9/21,237440396
626,10/10/21,237870141
627,10/11/21,238216653
628,10/12/21,238560969
629,10/13/21,238989859
630,10/14/21,239435515
631,10/15/21,239875378
632,10/16/21,240324578
633,10/17/21,240747560
634,10/18/21,241089731
635,10/19/21,241441367
636,10/20/21,241892303
637,10/21/21,242362963
638,10/22/21,242835192
639,10/23/21,243300711
640,10/24/21,243737983
641,10/25/21,244074067
642,10/26/21,244409201
643,10/27/21,244888600
644,10/28/21,245398451
645,10/29/21,245891552
646,10/30/21,246405276
647,10/31/21,246853625
648,11/1/21,247194752
649,11/2/21,247540173
650,11/3/21,248034346
651,11/4/21,248535543
652,11/5/21,249048606
653,11/6/21,249553405
654,11/7/21,250024573
655,11/8/21,250386567
656,11/9/21,250769979
657,11/10/21,251342478
658,11/11/21,251893040
659,11/12/21,252443612
660,11/13/21,252943764
661,11/14/21,253470232
662,11/15/21,253888097
663,11/16/21,254295494
664,11/17/21,254930232
665,11/18/21,255529961
666,11/19/21,256135869
667,11/20/21,256751804
668,11/21/21,257308457
669,11/22/21,257736880
670,11/23/21,258205808
671,11/24/21,258912976
672,11/25/21,259564178
673,11/26/21,260222848
674,11/27/21,260806428
675,11/28/21,261347522
676,11/29/21,261798798
677,11/30/21,262256089
678,12/1/21,262907667
679,12/2/21,263596020
680,12/3/21,264292681
681,12/4/21,264975715
682,12/5/21,265614649
683,12/6/21,266088272
684,12/7/21,266545691
685,12/8/21,267283004
686,12/9/21,267983698
687,12/10/21,268655992
688,12/11/21,269319277
689,12/12/21,269935253
690,12/13/21,270416924
691,12/14/21,270874791
692,12/15/21,271645934
693,12/16/21,272394398
694,12/17/21,273151771
695,12/18/21,273894990
696,12/19/21,274602838
697,12/20/21,275133086
698,12/21/21,275682275
699,12/22/21,276613535
700,12/23/21,277548880
701,12/24/21,278557468
